6012	31526	5702	2288	25207
3975	9145	20634	28644	28862
21763	14693	17290	15052	18368
18659	23919	13754	29017	6552
264	28216	19845	1721	30628
23337	31948	16347	28883	24401
19548	16318	4758	11449	22872
29558	5632	21507	24320	10204
405	14303	15735	29016	32230
24588	748	29931	14906	30728
31481	16658	19152	25543	19453
2642	12464	17884	10473	12819
11599	16320	6281	10413	7822
20762	17620	26720	14249	30361
27655	26103	24822	5325	22895
13970	31251	5426	24374	1128
6204	22960	31298	16143	18675
1955	1103	2597	21206	12788
10429	21176	763	27667	30481
12092	11966	27926	31809	22170
17984	16055	3275	9618	16297
9159	5735	3710	17404	29553
7674	26227	14854	10324	32662
11549	10422	8058	21920	8008
24535	14896	31081	10839	30747
2878	19386	31419	24555	31084
30078	24559	26291	5544	29244
30169	7223	8243	20519	1444
10567	12366	1479	5501	27639
19261	25231	14846	132	3807
32231	28028	11114	27775	10784
30956	28190	16967	6453	5970
20626	32571	10229	9305	1158
15470	7296	20471	14663	2356
26006	12222	7212	24876	12437
18450	17683	10540	25315	31519
25170	18338	10355	14667	12627
3301	26051	9234	22577	9080
28099	19406	32134	4038	13401
6845	8324	24993	19661	23039
16921	11910	5942	3956	9705
16310	29816	4837	11918	16442
27744	12827	11161	4500	23591
24003	30916	19551	14865	22183
6328	11034	26762	24383	23012
24451	11816	26828	23757	17091
22673	19703	3847	25963	10
24491	32236	23884	24689	29416
10209	25021	29988	13733	5452
21318	15504	20210	7450	17054
17414	14616	30987	27282	29934
31530	19319	17150	22583	13872
14515	6506	23253	4947	21586
9363	29714	31318	31072	22569
14949	30327	8961	28128	11895
18467	19787	12762	4710	3800
17608	25192	19753	25094	21933
29311	10751	19206	5773	12510
3004	7456	22728	28507	27718
11416	21141	26897	31675	29318
28005	8204	13865	7010	30911
26181	29609	31249	14672	3208
29959	26189	9492	608	18365
3214	32549	41	8805	25478
8149	11937	4754	30197	747
27937	15909	19502	1267	5818
24212	29934	2056	6307	8970
1642	26821	31906	15947	23819
23373	25854	12122	26545	23122
885	13221	14916	27503	5134
27277	31180	5601	6532	26032
19677	4249	30720	1895	6287
9095	15156	31640	24966	26044
28110	11586	8530	15399	25765
24418	20353	18444	16502	12900
26947	21325	16541	19606	15932
5684	21228	13907	12062	5448
20517	28068	22914	3769	22435
26104	16687	12028	19330	25281
8089	6404	12426	32456	19960
31239	10803	14260	25933	23294
777	25652	17875	26248	12829
27629	18060	11906	4481	26028
22774	11840	6504	19428	9406
27740	13622	13606	3519	8063
27526	349	15255	4229	12291
18996	17638	8850	17310	5912
22190	23756	6016	11930	17729
25235	25295	15296	5659	29158
32535	31963	24379	27359	11668
31232	23981	19439	24103	1136
6399	23336	26415	30757	2578
31983	31510	694	18035	24678
234	15550	4214	22374	14041
68	6254	6289	13822	2502
32680	5344	18400	152	18309
11636	22291	16248	1636	13475
22356	5033	26394	5532	23516
846	8748	7287	4189	30769
11254	25108	27612	25395	22131
